consumer,origin,input,input_group,product,input_category,cropland_m2,blue_water_m3,ghg_kg,biodiv,n_application_kg,p_application_kg
EU-27,NAM,Pigmeat,Meat,Wearing apparel; furs (18),animal-based,0,1.0235586980296e-23,0,0,0,0
EU-27,NAM,"Meat, Other",Meat,Wearing apparel; furs (18),animal-based,0,1.02374453513477e-09,0,0,0,0
EU-27,NAM,"Offals, Edible",Meat,Wearing apparel; furs (18),animal-based,0,0,0,0,0,0
EU-27,NAM,"Fats, Animals, Raw",Animal fats,Wearing apparel; furs (18),animal-based,0,0,0,0,0,0
EU-27,NAM,Hides and skins,"Hides, skins, wool",Wearing apparel; furs (18),animal-based,0,0,0,0,0,0
EU-27,NAM,"Fish, Seafood",Fish,Wearing apparel; furs (18),animal-based,0,0,1.49252910800839e-07,0,0,0
EU-27,AFR,Sesameseed Cake,Oil cakes,Wearing apparel; furs (18),other crops,0,0,8.70537963972121e-10,0,0,0
EU-27,AFR,Pigmeat,Meat,Wearing apparel; furs (18),animal-based,0,1.49522459435152e-22,0,0,0,0
EU-27,ASI,"Offals, Edible",Meat,Wearing apparel; furs (18),animal-based,0,0,0,0,0,0
EU-27,LAM,Sugar beet,Sugar crops,Wearing apparel; furs (18),other crops,7.8683118566342e-07,4.81716355101154e-07,5.6516671293266e-10,3.51380451940205e-18,1.8794010201298e-08,9.82136233215143e-09
EU-27,LAM,Tomatoes and products,"Vegetables, fruit, nuts, pulses, spices",Wearing apparel; furs (18),other crops,1.06144899745335e-09,2.8598283014493e-10,2.52069737795196e-12,3.85705363556757e-21,1.04076410900899e-11,1.29071610522925e-12
EU-27,LAM,Camels,Live animals,Wearing apparel; furs (18),animal-based,0,0,0,0,0,0
EU-27,ASI,Rye and products,Cereals,Wearing apparel; furs (18),other crops,0.00279668674450896,4.37300044314886e-05,4.88401904934731e-07,9.26212628650242e-16,1.47687708048513e-05,1.44499596137972e-06
EU-27,ASI,"Roots, Other",Roots and tubers,Wearing apparel; furs (18),other crops,0.000396675086829272,2.15484804692235e-06,4.30566057490295e-08,7.59809260784032e-16,4.61257118053414e-06,1.91000134560734e-06
EU-27,ASI,"Oil, palm fruit",Oil crops,Wearing apparel; furs (18),other crops,0.885987505424265,0,7.64531102877425e-06,5.54359845908205e-12,0.00713467410935559,0.000795805198156657
EU-27,ASI,Bananas,"Vegetables, fruit, nuts, pulses, spices",Wearing apparel; furs (18),other crops,1.52178918597037e-06,4.15768628159342e-11,2.13249651282616e-09,3.69445444197353e-17,2.92410283713388e-08,2.24064270458131e-09
EU-27,ASI,"Soft-Fibres, Other",Fibre crops,Wearing apparel; furs (18),fibre crops,0.0489299986744577,0.000126714941526319,3.65295085692787e-06,7.09557263565982e-14,0,0
EU-27,ASI,Sisal,Fibre crops,Wearing apparel; furs (18),fibre crops,0.0012393857819292,2.00725253788349e-05,3.69102868293872e-07,1.49733915706731e-15,4.59710599666307e-07,2.06826443110229e-06
EU-27,ASI,Palm kernels,Oil crops,Wearing apparel; furs (18),other crops,0,0,5.98650179052475e-06,0,0,0
EU-27,ASI,Groundnut Oil,Vegetable oils,Wearing apparel; furs (18),other crops,0,0,2.77183950724025e-06,0,0,0
EU-27,ASI,Palmkernel Oil,Vegetable oils,Wearing apparel; furs (18),other crops,0,0,0.00107599187169103,0,0,0
EU-27,ASI,Maize Germ Oil,Vegetable oils,Wearing apparel; furs (18),other crops,0,0,1.11058099028858e-09,0,0,0
EU-27,ASI,Palmkernel Cake,Oil cakes,Wearing apparel; furs (18),other crops,0,0,1.06727135325426e-05,0,0,0
EU-27,ASI,Asses,Live animals,Wearing apparel; furs (18),animal-based,0,5.56008314474511e-05,4.5804958826934e-06,0,0,0
EU-27,ASI,Mules,Live animals,Wearing apparel; furs (18),animal-based,0,1.48987297818669e-05,1.11749407211668e-06,0,0,0
EU-27,ASI,Rabbits and hares,Live animals,Wearing apparel; furs (18),animal-based,0,4.66404096775809e-05,0,0,0,0
EU-27,LAM,"Roots, Other",Roots and tubers,Wearing apparel; furs (18),other crops,6.85556913581696e-05,2.19044375453638e-07,8.8043572288567e-08,1.09797147747261e-15,8.39432106248054e-07,2.06709887669746e-07
EU-27,LAM,Sugar non-centrifugal,"Sugar, sweeteners",Wearing apparel; furs (18),other crops,0,0,9.94628959848049e-10,0,0,0
EU-27,LAM,Coconut Oil,Vegetable oils,Wearing apparel; furs (18),other crops,0,0,2.95606798023396e-08,0,0,0
EU-27,LAM,Sesameseed Cake,Oil cakes,Wearing apparel; furs (18),other crops,0,0,4.06745309194446e-11,0,0,0
