consumer,origin,input,input_group,product,input_category,cropland_km2,blue_water_km3,ghg_Gt,biodiv,n_application_Tg,p_application_Tg
EU-27,AFR,Hides and skins,"Hides, skins, wool",Wearing apparel; furs (18),animal-based,0,0,0,0,0,0
EU-27,AFR,"Fish, Seafood",Fish,Wearing apparel; furs (18),animal-based,0,0,2.39136316477661e-07,0,0,0
EU-27,AFR,Rice and products,Cereals,Wearing apparel; furs (18),other crops,2.82282260292049e-05,0.00816116513367023,2.8792237363057e-05,8.01192305894074e-06,1.73341073128601e-05,2.81180690368771e-06
EU-27,AFR,Millet and products,Cereals,Wearing apparel; furs (18),other crops,1.30586602700856e-05,3.09980368995103e-06,5.58971929055745e-06,1.02456687356955e-06,4.83675636921788e-07,1.29165227681554e-07
EU-27,AFR,Sorghum and products,Cereals,Wearing apparel; furs (18),other crops,0.000203571737626612,0.00170149271489349,4.96643995661093e-05,9.26799288908606e-05,2.01774629048302e-05,6.43616319728833e-06
EU-27,AFR,Cassava and products,Roots and tubers,Wearing apparel; furs (18),other crops,5.10000551758051e-05,2.03472843300256e-06,1.58762369292138e-05,4.01034035769429e-05,3.86618017264666e-06,1.08278446418676e-06
EU-27,AFR,Sweet potatoes,Roots and tubers,Wearing apparel; furs (18),other crops,3.68143035571298e-07,4.33264121054312e-06,3.29368692176355e-07,5.19573757385475e-07,6.86948046185946e-08,9.19980767441206e-09
EU-27,AFR,Sugar cane,Sugar crops,Wearing apparel; furs (18),other crops,7.80888599069267e-06,0.00174602079170401,1.56929188353898e-05,4.70049963292734e-05,8.17594491638985e-06,1.18653850686938e-06
EU-27,AFR,Beans,"Vegetables, fruit, nuts, pulses, spices",Wearing apparel; furs (18),other crops,6.52821328208175e-07,8.71783842921464e-06,5.62165517919565e-07,5.53456650137039e-07,2.14858869815393e-07,9.77708729858996e-08
EU-27,AFR,Soyabeans,Oil crops,Wearing apparel; furs (18),other crops,2.99379557396465e-06,7.25114443528328e-05,9.00014767090574e-07,3.38176178378387e-06,1.33228916365467e-06,4.71786984285497e-07
EU-27,AFR,"Oil, palm fruit",Oil crops,Wearing apparel; furs (18),other crops,0.000263676297794116,0.0001600387139258,5.84783390404349e-07,0.00027218544439125,8.3575705621001e-05,1.39542533849646e-05
EU-27,AFR,"Oilcrops, Other",Oil crops,Wearing apparel; furs (18),other crops,5.93944235946268e-05,0.000204504525292112,2.47135552021525e-05,4.09262694017606e-05,6.38785828118602e-09,8.87901875710222e-11
EU-27,AFR,Jute-Like Fibres,Fibre crops,Wearing apparel; furs (18),fibre crops,3.10914764586628e-05,8.87066096919978e-05,1.81775826712491e-07,2.32414822573138e-05,8.03614099204053e-05,8.8275819967828e-06
EU-27,AFR,Sisal,Fibre crops,Wearing apparel; furs (18),fibre crops,0.000126622313684628,0.00172865760225639,9.10964166563711e-05,0.000271714050527742,7.84240743131675e-06,8.53390349146478e-05
EU-27,AFR,Palm kernels,Oil crops,Wearing apparel; furs (18),other crops,0,0,1.50739439576159e-07,0,0,0
EU-27,AFR,Sugar (Raw Equivalent),"Sugar, sweeteners",Wearing apparel; furs (18),other crops,0,0,2.77815439044091e-07,0,0,0
EU-27,AFR,Cottonseed Oil,Vegetable oils,Wearing apparel; furs (18),other crops,0,0,1.10978344445548e-08,0,0,0
EU-27,AFR,Palmkernel Oil,Vegetable oils,Wearing apparel; furs (18),other crops,0,0,3.28900166319292e-05,0,0,0
EU-27,AFR,Palm Oil,Vegetable oils,Wearing apparel; furs (18),other crops,0,0,1.52359123485226e-06,0,0,0
EU-27,AFR,Cottonseed Cake,Oil cakes,Wearing apparel; furs (18),other crops,0,0,1.44201203275387e-09,0,0,0
EU-27,AFR,Palmkernel Cake,Oil cakes,Wearing apparel; furs (18),other crops,0,0,1.95302179390831e-07,0,0,0
EU-27,AFR,Bovine Meat,Meat,Wearing apparel; furs (18),animal-based,0,1.12637578721914e-20,0,0,0,0
EU-27,AFR,Mutton & Goat Meat,Meat,Wearing apparel; furs (18),animal-based,0,1.14398774214449e-21,0,0,0,0
EU-27,LAM,Seed cotton,Oil crops,Wearing apparel; furs (18),other crops,0.000284355469515645,0.0205851317333583,0.000522965292221593,0.00048029738263403,0.00222004607021045,0.00130868312253773
EU-27,LAM,Grazing,Grazing,Wearing apparel; furs (18),other crops,0,0,6.41593328439372e-07,0.000475515893899268,1.83253192864611e-05,6.8225773749833e-06
EU-27,LAM,Cottonseed,Fibre crops,Wearing apparel; furs (18),fibre crops,0,0,3.28851416541368e-06,0,0,0
EU-27,LAM,Cotton lint,Fibre crops,Wearing apparel; furs (18),fibre crops,0,0,5.8294024949021e-05,0,0,0
EU-27,LAM,Cattle,Live animals,Wearing apparel; furs (18),animal-based,0,0.000777178138527098,5.31138217314595e-05,0,0,0
EU-27,LAM,Goats,Live animals,Wearing apparel; furs (18),animal-based,0,3.64457789308141e-06,4.94147038365902e-07,0,0,0
EU-27,LAM,Eggs,Eggs,Wearing apparel; furs (18),animal-based,0,0,0,0,0,0
EU-27,LAM,Hides and skins,"Hides, skins, wool",Wearing apparel; furs (18),animal-based,0,0,0,0,0,0
EU-27,LAM,"Fish, Seafood",Fish,Wearing apparel; furs (18),animal-based,0,0,1.04418752437814e-07,0,0,0
EU-27,LAM,Rice and products,Cereals,Wearing apparel; furs (18),other crops,2.38305088831753e-06,0.000698589291721092,7.83257161351529e-06,1.13497128527301e-05,1.33682464288302e-05,2.4622666623443e-06
EU-27,LAM,Wheat and products,Cereals,Wearing apparel; furs (18),other crops,7.12543750583486e-06,0.000245902241894687,2.80436563690828e-06,6.43212429667084e-06,3.12293921875367e-05,5.86809654633011e-06
EU-27,LAM,Barley and products,Cereals,Wearing apparel; furs (18),other crops,1.24873566271115e-06,0.000132927362858986,2.41441003792218e-06,2.78448977347853e-06,5.09348437091931e-06,6.99272087080986e-07
EU-27,LAM,Maize and products,Cereals,Wearing apparel; furs (18),other crops,3.60785105630443e-05,0.000221849596931247,4.57598799201429e-05,0.000107752865201222,0.000135214385967171,4.26037403579096e-05
EU-27,LAM,Rye and products,Cereals,Wearing apparel; furs (18),other crops,3.25096821316741e-08,2.82610130749749e-07,1.31191757712403e-08,1.1627063721145e-08,6.17584455644723e-08,1.93596605893241e-08
EU-27,LAM,Oats,Cereals,Wearing apparel; furs (18),other crops,1.49742433687246e-07,1.66489188989897e-05,1.57101670102618e-07,1.01925048944265e-07,8.84746463945541e-07,2.91255623511751e-07
EU-27,LAM,Millet and products,Cereals,Wearing apparel; furs (18),other crops,1.2216819015834e-09,3.26933797164328e-08,2.96240109354765e-10,4.32101535546048e-10,3.3328342805175e-09,9.5549725573024e-10
EU-27,LAM,Sorghum and products,Cereals,Wearing apparel; furs (18),other crops,8.54360522338547e-07,1.03176935741584e-05,7.26094484487843e-07,3.73659223337523e-06,1.85391056783328e-06,3.91832104169946e-07
EU-27,LAM,"Cereals, Other",Cereals,Wearing apparel; furs (18),other crops,1.33457691439369e-07,2.12656299572259e-06,1.8979749879869e-07,2.50401375111286e-07,2.66328694718123e-07,4.2046571542564e-08
EU-27,LAM,Potatoes and products,Roots and tubers,Wearing apparel; furs (18),other crops,8.92123285740385e-08,1.41944849487572e-05,1.27614820935229e-07,3.30435070446561e-07,2.66376116165609e-07,7.77949324870599e-08
EU-27,LAM,Cassava and products,Roots and tubers,Wearing apparel; furs (18),other crops,1.19095381884046e-06,6.2405771970696e-07,2.21655472169375e-06,8.74481468231987e-06,1.67628758659649e-06,1.05397402670018e-06
EU-27,LAM,Sweet potatoes,Roots and tubers,Wearing apparel; furs (18),other crops,4.30494486750528e-08,3.84232268947154e-07,2.50422109522059e-08,1.53085665909832e-06,2.57299529884554e-08,6.6586677927356e-09
EU-27,LAM,Sugar cane,Sugar crops,Wearing apparel; furs (18),other crops,4.27749770299527e-05,0.00224385013883767,7.50614393596873e-05,9.57201254935546e-05,0.00023207145059814,8.85100512685905e-05
EU-27,LAM,Beans,"Vegetables, fruit, nuts, pulses, spices",Wearing apparel; furs (18),other crops,6.32292573308645e-08,5.80506223405736e-07,5.66199188805306e-08,5.11170903755731e-07,9.16433421166905e-08,4.00035084768341e-08
EU-27,LAM,Peas,"Vegetables, fruit, nuts, pulses, spices",Wearing apparel; furs (18),other crops,3.11705059584654e-09,6.27077102274804e-08,3.10737488543095e-09,2.88472980589745e-09,4.053057938401e-09,1.74999852230998e-09
EU-27,LAM,"Pulses, Other and products","Vegetables, fruit, nuts, pulses, spices",Wearing apparel; furs (18),other crops,4.85555399489368e-08,6.53200511022674e-07,2.35242155994862e-08,2.88428046076876e-07,1.28562560216014e-07,2.20148840009118e-08
EU-27,LAM,Nuts and products,"Vegetables, fruit, nuts, pulses, spices",Wearing apparel; furs (18),other crops,8.49003630881893e-08,2.99114537669116e-05,1.76885244896898e-07,1.41888143812499e-07,8.49217104171919e-09,9.72318861254493e-08
EU-27,LAM,Soyabeans,Oil crops,Wearing apparel; furs (18),other crops,0.000210129576973099,0.000125950209681007,0.000325199818715,0.000247634935286744,0.000137490669399704,0.000416105972492428
EU-27,LAM,Groundnuts,Oil crops,Wearing apparel; furs (18),other crops,4.77881947214109e-07,4.02048819856266e-06,5.44393287256359e-07,6.20671252602888e-07,8.61202703154769e-07,4.47056233086448e-07
EU-27,LAM,Sunflower seed,Oil crops,Wearing apparel; furs (18),other crops,3.51845013331595e-06,7.35812681857933e-06,1.26210993425168e-06,1.61098443218904e-06,5.2567294285675e-06,9.28234785515935e-07
EU-27,LAM,Rape and Mustardseed,Oil crops,Wearing apparel; furs (18),other crops,9.20001573958949e-07,0,1.20666536595727e-06,5.68788693580139e-07,2.67949104460808e-06,1.54077321901064e-06
EU-27,LAM,Olives (including preserved),Oil crops,Wearing apparel; furs (18),other crops,2.87930185542045e-07,8.39746802934829e-05,1.71261547627688e-07,1.73106511076491e-07,6.84297397166098e-07,1.4605389577613e-07
EU-27,LAM,"Oilcrops, Other",Oil crops,Wearing apparel; furs (18),other crops,2.22872450703237e-06,0.000190075729913518,1.87397096110982e-06,6.56808405275753e-06,2.05616214659728e-07,2.85803725523259e-09
EU-27,LAM,Onions,"Vegetables, fruit, nuts, pulses, spices",Wearing apparel; furs (18),other crops,8.31719043365039e-13,3.34283564910579e-10,9.84237149227927e-13,3.59434619298809e-12,5.87587084946531e-12,1.10479056869974e-12
EU-27,LAM,"Vegetables, Other","Vegetables, fruit, nuts, pulses, spices",Wearing apparel; furs (18),other crops,8.58575395566114e-08,1.83888485761865e-06,4.30765372157407e-08,3.2468225420935e-06,1.35145104006916e-07,8.06712747404895e-08
EU-27,LAM,Apples and products,"Vegetables, fruit, nuts, pulses, spices",Wearing apparel; furs (18),other crops,1.82768111193384e-08,5.37837877420565e-06,1.18780284070666e-08,7.26144071973183e-08,1.26298569973648e-07,2.28936199716974e-08
EU-27,LAM,Grapes and products (excl wine),"Vegetables, fruit, nuts, pulses, spices",Wearing apparel; furs (18),other crops,8.628156644096e-08,4.27273884588429e-06,1.60710449795973e-07,2.3797138538038e-07,3.86255652702461e-07,5.4800890791961e-08
EU-27,LAM,"Fruits, Other","Vegetables, fruit, nuts, pulses, spices",Wearing apparel; furs (18),other crops,5.79551292871989e-08,2.26699898287047e-05,1.40198113427735e-07,2.70000743436328e-07,4.71955431527039e-07,4.73614182653463e-08
EU-27,LAM,Tea (including mate),"Coffee, tea, cocoa",Wearing apparel; furs (18),other crops,8.45124509984179e-12,1.57479564170545e-09,1.59534920108712e-12,2.9394168250947e-12,1.26766669171348e-13,1.25469494783333e-14
EU-27,LAM,"Spices, Other","Vegetables, fruit, nuts, pulses, spices",Wearing apparel; furs (18),other crops,2.21375687543208e-08,2.84365581791197e-07,2.90644934032834e-08,1.78760495629007e-07,0,0
EU-27,LAM,"Soft-Fibres, Other",Fibre crops,Wearing apparel; furs (18),fibre crops,9.9390880035209e-07,0.000167760882565797,2.93706790262592e-07,9.8964103394609e-07,0,0
EU-27,LAM,"Hard Fibres, Other",Fibre crops,Wearing apparel; furs (18),fibre crops,5.82191523789532e-06,2.55672268228234e-05,1.64142591724325e-05,7.2681477931149e-05,0,0
EU-27,LAM,Tobacco,"Tobacco, rubber",Wearing apparel; furs (18),other crops,7.35104315819711e-07,8.4082946780591e-06,8.53146949036671e-07,1.98072354729555e-06,2.28936260650141e-06,9.22343013519347e-07
EU-27,LAM,Fodder crops,Fodder crops,Wearing apparel; furs (18),other crops,3.3377942669756e-06,6.1085909973148e-05,2.61604483072463e-06,5.18474557879983e-06,5.29910087539285e-06,1.49668667611509e-06
EU-27,LAM,Sugar (Raw Equivalent),"Sugar, sweeteners",Wearing apparel; furs (18),other crops,0,0,1.96812670494921e-05,0,0,0
EU-27,LAM,"Sweeteners, Other","Sugar, sweeteners",Wearing apparel; furs (18),other crops,0,0,4.79938092700251e-07,0,0,0
EU-27,LAM,Soyabean Oil,Vegetable oils,Wearing apparel; furs (18),other crops,0,0,1.7233603465602e-06,0,0,0
EU-27,LAM,Groundnut Oil,Vegetable oils,Wearing apparel; furs (18),other crops,0,0,2.3880639514269e-08,0,0,0
EU-27,LAM,Sunflowerseed Oil,Vegetable oils,Wearing apparel; furs (18),other crops,0,0,2.78372878298386e-08,0,0,0
EU-27,LAM,Rape and Mustard Oil,Vegetable oils,Wearing apparel; furs (18),other crops,0,0,5.30815832723059e-08,0,0,0
EU-27,LAM,Cottonseed Oil,Vegetable oils,Wearing apparel; furs (18),other crops,0,0,4.09916581223213e-10,0,0,0
EU-27,LAM,Olive Oil,Vegetable oils,Wearing apparel; furs (18),other crops,0,0,3.26022911540517e-09,0,0,0
EU-27,LAM,Maize Germ Oil,Vegetable oils,Wearing apparel; furs (18),other crops,0,0,5.31438534154366e-09,0,0,0
EU-27,LAM,"Oilcrops Oil, Other",Vegetable oils,Wearing apparel; furs (18),other crops,0,0,6.79493872539409e-07,0,0,0
EU-27,LAM,Soyabean Cake,Oil cakes,Wearing apparel; furs (18),other crops,0,0,2.62477287006034e-07,0,0,0
EU-27,LAM,Groundnut Cake,Oil cakes,Wearing apparel; furs (18),other crops,0,0,3.93672137466001e-10,0,0,0
EU-27,LAM,Sunflowerseed Cake,Oil cakes,Wearing apparel; furs (18),other crops,0,0,2.48635778411204e-09,0,0,0
EU-27,LAM,Rape and Mustard Cake,Oil cakes,Wearing apparel; furs (18),other crops,0,0,1.43358434685134e-09,0,0,0
EU-27,LAM,Cottonseed Cake,Oil cakes,Wearing apparel; furs (18),other crops,0,0,1.0424415515405e-09,0,0,0
EU-27,LAM,"Oilseed Cakes, Other",Oil cakes,Wearing apparel; furs (18),other crops,0,0,2.0186927857588e-09,0,0,0
EU-27,LAM,Wine,Alcohol,Wearing apparel; furs (18),other crops,0,0,1.37901660463052e-09,0,0,0
EU-27,LAM,"Beverages, Alcoholic",Alcohol,Wearing apparel; furs (18),other crops,0,0,3.65932406836216e-08,0,0,0
EU-27,LAM,"Alcohol, Non-Food",Ethanol,Wearing apparel; furs (18),other crops,0,0,1.21708779869658e-05,0,0,0
EU-27,LAM,Sheep,Live animals,Wearing apparel; furs (18),animal-based,0,0.000206069880470939,2.92309244509786e-05,0,0,0
EU-27,LAM,Pigs,Live animals,Wearing apparel; furs (18),animal-based,0,6.67737290865382e-09,2.38198954015616e-10,0,0,0
EU-27,LAM,Poultry Birds,Live animals,Wearing apparel; furs (18),animal-based,0,1.89386582661776e-08,3.99576022906768e-10,0,0,0
EU-27,LAM,Horses,Live animals,Wearing apparel; furs (18),animal-based,0,1.00606558734831e-05,7.91281850805336e-07,0,0,0
EU-27,LAM,Asses,Live animals,Wearing apparel; furs (18),animal-based,0,4.69331136971441e-09,0,0,0,0
EU-27,LAM,Mules,Live animals,Wearing apparel; furs (18),animal-based,0,3.92932495515836e-09,0,0,0,0
EU-27,LAM,Rabbits and hares,Live animals,Wearing apparel; furs (18),animal-based,0,3.22341946515087e-08,0,0,0,0
EU-27,LAM,Milk - Excluding Butter,Milk,Wearing apparel; furs (18),animal-based,0,0,1.31362983784936e-07,0,0,0
EU-27,LAM,"Butter, Ghee",Milk,Wearing apparel; furs (18),animal-based,0,0,2.80814680731773e-09,0,0,0
EU-27,LAM,Wool (Clean Eq.),"Hides, skins, wool",Wearing apparel; furs (18),animal-based,0,0,0,0,0,0
EU-27,LAM,Bovine Meat,Meat,Wearing apparel; furs (18),animal-based,0,1.58457720768175e-12,0,0,0,0
EU-27,LAM,Mutton & Goat Meat,Meat,Wearing apparel; furs (18),animal-based,0,4.35443924835587e-22,0,0,0,0
EU-27,LAM,Pigmeat,Meat,Wearing apparel; furs (18),animal-based,0,4.49084537986701e-24,0,0,0,0
EU-27,LAM,Poultry Meat,Meat,Wearing apparel; furs (18),animal-based,0,1.13978963356049e-23,0,0,0,0
EU-27,LAM,"Meat, Other",Meat,Wearing apparel; furs (18),animal-based,0,6.88755253893875e-10,0,0,0,0
EU-27,LAM,"Offals, Edible",Meat,Wearing apparel; furs (18),animal-based,0,0,0,0,0,0
EU-27,LAM,"Fats, Animals, Raw",Animal fats,Wearing apparel; furs (18),animal-based,0,0,0,0,0,0
EU-27,OCE,Rice and products,Cereals,Wearing apparel; furs (18),other crops,1.16069970797402e-10,1.31941522790074e-07,3.09953603324176e-10,2.08109503976886e-10,4.59753903437408e-10,1.807963079367e-10
EU-27,OCE,Wheat and products,Cereals,Wearing apparel; furs (18),other crops,3.64551660784501e-05,8.55204608595938e-05,4.63012153700043e-06,4.33045989398553e-05,0.000137688706866255,4.91546513773597e-05
EU-27,OCE,Barley and products,Cereals,Wearing apparel; furs (18),other crops,6.63991216649032e-06,0,9.99470638274154e-07,8.21178806023484e-06,2.60452303452642e-05,9.63035862982976e-06
EU-27,OCE,Maize and products,Cereals,Wearing apparel; furs (18),other crops,1.33317930090779e-07,5.68469430898718e-05,8.27072062865716e-08,3.98970007044864e-07,1.31313378286478e-06,7.73591586953265e-07
EU-27,OCE,Oats,Cereals,Wearing apparel; furs (18),other crops,1.28595471576443e-06,2.63704564463046e-05,1.79448347065393e-07,1.603073467357e-06,4.98016072321368e-06,1.83180258325761e-06
EU-27,OCE,Millet and products,Cereals,Wearing apparel; furs (18),other crops,4.72693570016784e-08,0,5.44319343896006e-09,5.58195829403745e-08,1.54307793467852e-07,5.53478790585637e-08
EU-27,OCE,Sorghum and products,Cereals,Wearing apparel; furs (18),other crops,3.62275871385083e-07,4.71893385569006e-06,3.1752758279256e-08,4.35522642619031e-07,1.14187472097422e-06,4.14484076783858e-07
EU-27,OCE,"Cereals, Other",Cereals,Wearing apparel; furs (18),other crops,6.64611070171308e-08,1.55885480246172e-06,7.37032089214085e-09,8.06090520966436e-08,4.14059549993192e-07,1.17660861491209e-09
EU-27,OCE,Potatoes and products,Roots and tubers,Wearing apparel; furs (18),other crops,9.12144100110572e-09,1.02413217191997e-06,8.55187672320992e-09,4.57808167451459e-08,1.99144909316776e-07,9.01785755407163e-08
EU-27,OCE,Sweet potatoes,Roots and tubers,Wearing apparel; furs (18),other crops,2.57361553234027e-10,3.01601021169278e-08,6.52797480856063e-11,3.0391389850935e-10,1.82511184551286e-09,1.27463262377762e-09
EU-27,OCE,Sugar cane,Sugar crops,Wearing apparel; furs (18),other crops,2.88882425769499e-08,5.8984676396973e-06,5.39650716754315e-08,5.254093004515e-07,2.55878523377171e-07,4.60566577409971e-08
EU-27,OCE,Beans,"Vegetables, fruit, nuts, pulses, spices",Wearing apparel; furs (18),other crops,1.12318059002516e-07,0,1.80774506866277e-08,1.32634493208151e-07,6.80882331030237e-07,2.26517500313198e-07
EU-27,OCE,Peas,"Vegetables, fruit, nuts, pulses, spices",Wearing apparel; furs (18),other crops,8.72489813583796e-08,0,1.56893116338472e-08,1.12279935575936e-07,7.04673889527001e-07,2.25009960026911e-07
EU-27,OCE,"Pulses, Other and products","Vegetables, fruit, nuts, pulses, spices",Wearing apparel; furs (18),other crops,7.81582908793222e-07,0,9.1735862981011e-08,9.22958016979441e-07,2.42484280694788e-07,0
EU-27,OCE,Nuts and products,"Vegetables, fruit, nuts, pulses, spices",Wearing apparel; furs (18),other crops,2.70486222714491e-09,1.35804214133159e-06,2.86674815261793e-10,3.19412598366929e-09,2.91409975010847e-09,2.83409592439125e-09
EU-27,OCE,Soyabeans,Oil crops,Wearing apparel; furs (18),other crops,5.79208532709608e-09,0,7.62257914862519e-10,6.83977544484232e-09,6.19282060144034e-09,6.01532195401575e-09
EU-27,OCE,Groundnuts,Oil crops,Wearing apparel; furs (18),other crops,8.33058352333854e-11,1.83272837513448e-08,1.3787686617975e-11,9.8374449626256e-11,7.33655826751548e-11,6.60205317646769e-11
EU-27,OCE,Sunflower seed,Oil crops,Wearing apparel; furs (18),other crops,8.46955157269011e-10,0,8.80115703815659e-11,1.00015499779861e-09,8.22060470183867e-10,7.72358281990228e-10
EU-27,OCE,Rape and Mustardseed,Oil crops,Wearing apparel; furs (18),other crops,2.31631562206823e-05,0,2.47693213268755e-06,2.73975346592983e-05,2.77791796582714e-05,2.61154472673219e-05
EU-27,OCE,Seed cotton,Oil crops,Wearing apparel; furs (18),other crops,8.64564376659641e-06,0.00655456233989036,1.01843202467128e-06,1.02094942667683e-05,8.85324140200676e-05,7.95543580794419e-06
EU-27,OCE,Olives (including preserved),Oil crops,Wearing apparel; furs (18),other crops,2.36377068781265e-09,2.82532115961711e-07,2.69263337532121e-10,2.7913367629625e-09,2.66688037858105e-09,2.46422052610633e-09
EU-27,OCE,"Oilcrops, Other",Oil crops,Wearing apparel; furs (18),other crops,1.42392495337312e-07,5.42328315698244e-06,3.41240142823561e-08,2.38982811898095e-07,0,0
EU-27,OCE,Onions,"Vegetables, fruit, nuts, pulses, spices",Wearing apparel; furs (18),other crops,8.08370954585514e-15,6.71735892878351e-12,1.7442264668583e-15,9.54591566466063e-15,1.17487279657555e-13,4.80937966896145e-14
EU-27,OCE,"Vegetables, Other","Vegetables, fruit, nuts, pulses, spices",Wearing apparel; furs (18),other crops,6.99707830843099e-10,4.28123492002568e-08,1.36908866798597e-09,4.52452109567091e-09,1.54543166402583e-08,5.65719524183289e-09
EU-27,OCE,Apples and products,"Vegetables, fruit, nuts, pulses, spices",Wearing apparel; furs (18),other crops,5.00816874814133e-09,3.27338145419952e-07,4.98302590092844e-09,3.20997901145166e-08,6.44785768686603e-08,1.89004796842598e-08
EU-27,OCE,Grapes and products (excl wine),"Vegetables, fruit, nuts, pulses, spices",Wearing apparel; furs (18),other crops,1.08404297274589e-08,1.30474167309993e-06,8.70417115571555e-09,5.19556874221266e-08,9.4125857911783e-08,2.96815717815916e-08
EU-27,OCE,"Fruits, Other","Vegetables, fruit, nuts, pulses, spices",Wearing apparel; furs (18),other crops,9.58063579356583e-08,2.48214636520049e-07,5.87079624598986e-07,1.33886647774183e-06,3.62434610048738e-08,8.96768800953723e-08
EU-27,OCE,"Spices, Other","Vegetables, fruit, nuts, pulses, spices",Wearing apparel; furs (18),other crops,1.90959661085668e-08,1.46360381490536e-07,8.27574513204396e-09,1.73349185740532e-06,0,0
EU-27,OCE,Tobacco,"Tobacco, rubber",Wearing apparel; furs (18),other crops,2.9334437369315e-09,4.77000018714908e-08,5.70601298633955e-10,9.89001368670097e-08,3.18513839387215e-08,1.50626604626786e-08
EU-27,OCE,Fodder crops,Fodder crops,Wearing apparel; furs (18),other crops,1.51514888896038e-06,0.000498402868031202,1.15201762634062e-05,4.35311176239808e-06,2.45111513863182e-05,3.46790842699523e-06
EU-27,OCE,Grazing,Grazing,Wearing apparel; furs (18),other crops,0,0,1.41481417932326e-06,0.00108242465465051,8.45250989016918e-05,5.42694864119582e-05
EU-27,OCE,Cottonseed,Fibre crops,Wearing apparel; furs (18),fibre crops,0,0,2.76925742907018e-08,0,0,0
EU-27,OCE,Sugar (Raw Equivalent),"Sugar, sweeteners",Wearing apparel; furs (18),other crops,0,0,2.46548419292524e-08,0,0,0
EU-27,OCE,"Sweeteners, Other","Sugar, sweeteners",Wearing apparel; furs (18),other crops,0,0,2.37384528185652e-07,0,0,0
EU-27,OCE,Sunflowerseed Oil,Vegetable oils,Wearing apparel; furs (18),other crops,0,0,4.99406466409455e-11,0,0,0
EU-27,OCE,Rape and Mustard Oil,Vegetable oils,Wearing apparel; furs (18),other crops,0,0,1.7260399251147e-07,0,0,0
EU-27,OCE,Cottonseed Oil,Vegetable oils,Wearing apparel; furs (18),other crops,0,0,1.42738672399951e-09,0,0,0
EU-27,OCE,Olive Oil,Vegetable oils,Wearing apparel; furs (18),other crops,0,0,2.448383617423e-10,0,0,0
EU-27,OCE,"Oilcrops Oil, Other",Vegetable oils,Wearing apparel; furs (18),other crops,0,0,1.78705648674892e-07,0,0,0
EU-27,OCE,Soyabean Cake,Oil cakes,Wearing apparel; furs (18),other crops,0,0,4.78696498363098e-10,0,0,0
EU-27,OCE,Groundnut Cake,Oil cakes,Wearing apparel; furs (18),other crops,0,0,4.94716322618269e-11,0,0,0
EU-27,OCE,Sunflowerseed Cake,Oil cakes,Wearing apparel; furs (18),other crops,0,0,9.79525370518268e-11,0,0,0
EU-27,OCE,Rape and Mustard Cake,Oil cakes,Wearing apparel; furs (18),other crops,0,0,1.59014349435574e-08,0,0,0
EU-27,OCE,Cottonseed Cake,Oil cakes,Wearing apparel; furs (18),other crops,0,0,8.07772879260461e-10,0,0,0
EU-27,OCE,Sesameseed Cake,Oil cakes,Wearing apparel; furs (18),other crops,0,0,4.93518719370585e-11,0,0,0
EU-27,OCE,"Oilseed Cakes, Other",Oil cakes,Wearing apparel; furs (18),other crops,0,0,6.11075192103149e-10,0,0,0
EU-27,OCE,Wine,Alcohol,Wearing apparel; furs (18),other crops,0,0,2.57614331717792e-08,0,0,0
EU-27,OCE,"Beverages, Alcoholic",Alcohol,Wearing apparel; furs (18),other crops,0,0,9.51758794179561e-10,0,0,0
EU-27,OCE,"Alcohol, Non-Food",Ethanol,Wearing apparel; furs (18),other crops,0,0,3.12335414308997e-07,0,0,0
EU-27,OCE,Cotton lint,Fibre crops,Wearing apparel; furs (18),fibre crops,0,0,6.87758361956593e-06,0,0,0
EU-27,OCE,Cattle,Live animals,Wearing apparel; furs (18),animal-based,0,0.000158968023464701,1.72754968198022e-05,0,0,0
EU-27,OCE,Buffaloes,Live animals,Wearing apparel; furs (18),animal-based,0,0,0,0,0,0
EU-27,OCE,Sheep,Live animals,Wearing apparel; furs (18),animal-based,0,0.000997520390144971,0.000343338655562737,0,0,0
EU-27,OCE,Goats,Live animals,Wearing apparel; furs (18),animal-based,0,1.28365752780274e-06,1.97252438446902e-07,0,0,0
EU-27,OCE,Pigs,Live animals,Wearing apparel; furs (18),animal-based,0,1.68778995343753e-08,2.12148777757922e-09,0,0,0
EU-27,OCE,Poultry Birds,Live animals,Wearing apparel; furs (18),animal-based,0,3.93523932606722e-08,8.84333636560479e-10,0,0,0
EU-27,OCE,Horses,Live animals,Wearing apparel; furs (18),animal-based,0,3.34700787668994e-07,2.75714500001741e-08,0,0,0
EU-27,OCE,Camels,Live animals,Wearing apparel; furs (18),animal-based,0,0,0,0,0,0
EU-27,OCE,Milk - Excluding Butter,Milk,Wearing apparel; furs (18),animal-based,0,0,1.94905914929196e-07,0,0,0
EU-27,OCE,"Butter, Ghee",Milk,Wearing apparel; furs (18),animal-based,0,0,3.34911768274396e-08,0,0,0
EU-27,OCE,Eggs,Eggs,Wearing apparel; furs (18),animal-based,0,0,0,0,0,0
EU-27,OCE,Wool (Clean Eq.),"Hides, skins, wool",Wearing apparel; furs (18),animal-based,0,0,0,0,0,0
EU-27,OCE,Bovine Meat,Meat,Wearing apparel; furs (18),animal-based,0,4.93119225001151e-22,0,0,0,0
EU-27,OCE,Mutton & Goat Meat,Meat,Wearing apparel; furs (18),animal-based,0,5.3136098278456e-23,0,0,0,0
