consumer,origin,input,input_group,product,input_category,cropland_km2,blue_water_km3,ghg_Gt,biodiv,n_application_Tg,p_application_Tg
EU-27,ASI,Grapes and products (excl wine),"Vegetables, fruit, nuts, pulses, spices",Textiles (17),other crops,5.14800992714629e-08,1.49793470119876e-05,6.20552498215749e-09,5.50575599911869e-08,2.21096998754534e-07,2.5569101132311e-08
EU-27,ASI,"Fruits, Other","Vegetables, fruit, nuts, pulses, spices",Textiles (17),other crops,2.04326348292109e-06,0.000826054198558595,6.79666865138611e-07,4.22155780879439e-06,8.60541270853848e-06,1.91307922993398e-06
EU-27,ASI,Tobacco,"Tobacco, rubber",Textiles (17),other crops,1.76742100063258e-06,7.91612766161425e-05,5.98541110666542e-07,2.74498492606329e-06,1.76931898602789e-05,3.97136262716403e-06
EU-27,ASI,Fodder crops,Fodder crops,Textiles (17),other crops,1.61620539125512e-05,0.0011555508443514,8.80484458431733e-06,2.78624054502772e-05,0.000127932890886813,2.23917634313259e-05
EU-27,ASI,Grazing,Grazing,Textiles (17),other crops,0,0,6.88801127862736e-06,0.000908046603862132,0.000356867995408065,6.63830194414326e-05
EU-27,ASI,"Sweeteners, Other","Sugar, sweeteners",Textiles (17),other crops,7.5575280686736e-08,0,2.04778577580481e-06,4.09291928268841e-07,0,0
EU-27,ASI,Sunflowerseed Oil,Vegetable oils,Textiles (17),other crops,0,0,9.46518454812472e-07,0,0,0
EU-27,ASI,Sunflowerseed Cake,Oil cakes,Textiles (17),other crops,0,0,7.76139411141865e-09,0,0,0
EU-27,ASI,Wine,Alcohol,Textiles (17),other crops,0,0,1.63847086905523e-10,0,0,0
EU-27,ASI,"Beverages, Alcoholic",Alcohol,Textiles (17),other crops,0,0,2.28574371563215e-08,0,0,0
EU-27,ASI,"Alcohol, Non-Food",Ethanol,Textiles (17),other crops,0,0,2.02942451457886e-05,0,0,0
EU-27,ASI,Cattle,Live animals,Textiles (17),animal-based,0,0.00158067627618974,5.27152844199421e-05,0,0,0
EU-27,ASI,Sheep,Live animals,Textiles (17),animal-based,0,0.000724169406257732,0.000106297241162643,0,0,0
EU-27,ASI,Goats,Live animals,Textiles (17),animal-based,0,2.97650272404055e-05,6.41527076374485e-06,0,0,0
EU-27,ASI,Horses,Live animals,Textiles (17),animal-based,0,3.56844905115288e-06,2.83148320435037e-07,0,0,0
EU-27,ASI,Milk - Excluding Butter,Milk,Textiles (17),animal-based,0,0,6.0865582294263e-07,0,0,0
EU-27,ASI,Wool (Clean Eq.),"Hides, skins, wool",Textiles (17),animal-based,0,0,0,0,0,0
EU-27,ASI,Bovine Meat,Meat,Textiles (17),animal-based,0,4.84375740765339e-09,0,0,0,0
EU-27,ASI,Hides and skins,"Hides, skins, wool",Textiles (17),animal-based,0,0,0,0,0,0
EU-27,ASI,"Fish, Seafood",Fish,Textiles (17),animal-based,0,0,1.31855653501108e-06,0,0,0
EU-27,ASI,Sugar cane,Sugar crops,Textiles (17),other crops,1.61105227641411e-05,0.0155065515898887,4.89343138257534e-06,2.75744423868231e-05,0.000162194565220244,2.28652171405914e-05
EU-27,ASI,Sunflower seed,Oil crops,Textiles (17),other crops,4.88650062362833e-05,0.000423457587688925,7.70844774522905e-06,9.86131461845662e-06,5.81138726166109e-05,7.26345350656862e-06
EU-27,ASI,Seed cotton,Oil crops,Textiles (17),other crops,0.00319246724900376,1.84728779964863,0.000565880558573047,0.00265832889751754,0.0318740614649854,0.00336459634218657
EU-27,ASI,Sesame seed,Oil crops,Textiles (17),other crops,1.40927187546988e-05,3.93876968115379e-05,1.10339144898898e-05,2.9455644659581e-05,5.68277194727913e-05,5.73839492462349e-06
EU-27,ASI,"Oilcrops, Other",Oil crops,Textiles (17),other crops,6.79568260300346e-05,0.00960576201372476,1.47323495288741e-05,0.000105904134997163,0,0
EU-27,ASI,Onions,"Vegetables, fruit, nuts, pulses, spices",Textiles (17),other crops,7.98863293423924e-09,5.33164872618875e-06,1.16429626640086e-09,1.08775140601104e-09,1.10029029726062e-08,1.63133089151105e-09
EU-27,ASI,"Spices, Other","Vegetables, fruit, nuts, pulses, spices",Textiles (17),other crops,2.36304406475537e-06,9.33230074492621e-05,3.70037093489016e-07,6.10000123925494e-06,0,0
EU-27,ASI,Cottonseed,Fibre crops,Textiles (17),fibre crops,0,0,7.94928349836243e-06,0,0,0
EU-27,ASI,Cottonseed Oil,Vegetable oils,Textiles (17),other crops,0,0,2.56720061393168e-07,0,0,0
EU-27,ASI,"Oilcrops Oil, Other",Vegetable oils,Textiles (17),other crops,0,0,4.97315332825012e-06,0,0,0
EU-27,ASI,Cottonseed Cake,Oil cakes,Textiles (17),other crops,0,0,7.99543715727083e-09,0,0,0
EU-27,ASI,Sesameseed Cake,Oil cakes,Textiles (17),other crops,0,0,5.64151046284e-10,0,0,0
EU-27,ASI,"Oilseed Cakes, Other",Oil cakes,Textiles (17),other crops,0,0,3.4204164454762e-09,0,0,0
EU-27,ASI,Cotton lint,Fibre crops,Textiles (17),fibre crops,0,0,0.000773951004861851,0,0,0
